group,step,agent_id,openness,risk_tolerance,adopted_ratio,wom_count,probability,adopt_final,reasoning,source
C,0,26,0.614,0.666,0.2,0,0.05,False,我虽然有一定开放性(0.61)和风险承受力(0.67)，但朋友推荐的情绪唤醒度为0，且朋友圈 adoption 比例仅0.2，缺乏足够的社会压力或情感刺激来打破我的现状惯性。,llm_http_direct
C,5,13,0.216,0.924,0.0,0,0.003,False,我的开放性极低（0.2164）且朋友圈 adoption 比例为 0，缺乏模仿动力；尽管风险承受度很高（0.9242），但创新基线概率仅为 0.003 且没有任何朋友推荐或情绪唤醒，不足以打破维持现状的惯性。,llm_http_direct
C,24,73,0.098,0.286,0.833,5,0.62,True,我极度保守（openness仅0.0976）且风险厌恶（risk_tolerance 0.2857），通常不愿尝试新事物，但看到朋友圈已有83.33%的人采纳（adopted_ratio极高），加上朋友们的推荐情绪极其狂热（emotion_arousal=1）且评价充满惊喜，这种巨大的同侪压力让我无法忽视。,llm_http_direct
C,52,85,0.174,0.003,1.0,5,0.0,False,尽管adopted_ratio高达1.0且朋友评价极其狂热，但我openness仅0.17、risk_tolerance低至0.003，极度保守的性格让我对任何改变现状都充满恐惧，即便周围人都在用，我仍因害怕未知的试错成本而不敢迈出第一步。,llm_http_direct
C,5,11,0.834,0.802,0.167,4,0.25,False,我天生开放度高(0.83)且风险承受力强(0.80)，这使我愿意尝试新事物，但朋友们的推荐情绪唤醒度为0，缺乏情感冲击，加上目前只有16.67%的人采用，不足以触发我的模仿冲动。,llm_http_direct
C,11,34,0.462,0.807,0.143,5,0.52,True,我天生保守（openness=0.46）且风险承受力极高（risk_tolerance=0.81），通常不愿轻易尝试，但极高的风险容忍度让我对朋友的热情推荐并不排斥；尽管朋友圈采用率仅14%（adopted_ratio=0.1429）且缺乏情绪唤醒（emotion_arousal=0），但朋友们提供的多条强力评价（wom_strength=,llm_http_direct
C,25,27,0.08,0.656,0.75,5,0.62,True,我的开放性极低（0.08）且模仿系数不高（0.2），通常很难被说服，但朋友圈已有75%的人采纳（adopted_ratio=0.75）形成了巨大的同侪压力，加上朋友们的推荐情绪极其狂热（emotion_arousal=1.0，尽管输入显示为0但文本内容极度夸张暗示高唤醒），这种强烈的社会证明迫使我打破惯性。,llm_http_direct
C,21,87,0.078,0.333,0.667,5,0.52,True,我的开放性极低(0.0785)且风险承受力弱(0.3328)，本能上极度抗拒改变，但朋友圈已有66.67%的人购买，这种强烈的从众压力迫使我不得不重新评估；尽管朋友们的推荐情绪唤醒度为0显得过于冷静客观，无法直接点燃我的冲动，但如此高的普及率让我担心被孤立，最终决定冒险尝试。,llm_http_direct
D,58,89,0.29,0.32,0.0,0,0.003,False,我的开放性仅0.29且风险承受度低至0.32，极度保守；当前朋友圈 adoption 比例为0，没有任何人推荐或情绪唤醒，缺乏打破现状的任何外部刺激，因此维持现状是唯一选择。,llm_http_direct
D,54,51,0.673,0.863,0.125,5,0.52,True,我虽然开放性尚可(0.67)且风险承受力极高(0.86)，但朋友们的反馈两极分化严重，既有冷淡的‘表面功夫’也有狂热的‘狂喜乱舞’，这种混乱的信息让我无法形成清晰的模仿动力；尽管创新基线极低(0.003)，但面对如此强烈的正面情绪唤醒(1.0)和极高的风险容忍度，我决定冒险尝试一下。,llm_http_direct
D,48,65,0.902,0.037,0.333,3,0.52,True,我天生极度开放（0.90）且几乎不怕风险（0.03），但朋友们的评价两极分化严重，既有冷淡的吐槽也有狂热的赞美，且整体情绪唤醒度为0，这种混乱的信息让我无法产生强烈的模仿冲动，尽管我的创新基线很低，但高开放性让我愿意尝试。,llm_http_direct
D,9,83,0.691,0.722,0.0,0,0.003,False,作为开放性0.69且风险承受力尚可(0.72)的人，我本有尝试意愿，但当前 adoption_ratio 为 0 且无任何朋友推荐(wom_messages_recent为空)，缺乏模仿动力和外部验证，自发创新概率仅0.003的基准太低，不足以打破维持现状的惯性。,llm_http_direct
D,2,71,0.986,0.232,0.25,2,0.72,True,我极度开放（0.9855）且风险承受力尚可，但朋友们的评价两极分化：有人觉得只是勉强有用，有人则情绪狂热（唤醒度1.0），这种强烈的正面情绪瞬间点燃了我的购买冲动，尽管模仿系数不高，但我愿意尝试。,llm_http_direct
D,47,74,0.254,0.845,0.333,5,0.08,False,我天生保守（openness仅0.25），虽然风险承受力尚可，但朋友们的评价普遍平淡甚至带有保留意见（emotion_arousal为0，wom_strength为weak），且只有极少数人表现出狂热，这种微弱的社会刺激完全不足以打破我维持现状的惯性。,llm_http_direct
D,57,83,0.91,0.942,0.5,5,0.82,True,我拥有极高的开放性(0.91)和风险承受力(0.94)，且朋友中已有50%的人购买，这构成了强大的同侪压力；尽管部分评价情绪平淡，但最后两条消息展现了极高的情绪唤醒度，足以瞬间点燃我的尝试冲动。,llm_http_direct
D,24,80,0.411,0.403,0.0,0,0.003,False,我的开放性仅0.41且风险承受度低至0.40，天生抗拒改变；当前朋友圈 adoption_ratio 为0且无任何朋友推荐（wom_messages_recent为空），缺乏任何模仿动力或外部刺激，创新基线0.003也微乎其微。,llm_http_direct
